Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Decommissioned,1000,Shaban Robert,39.29296,-6.81385,Rooftop-Ballast Pole,6,Helios Tanzania,13/12/2017,v1.0_FR_LB,Amber,,,NI,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,DelmecInspected,,,2,4,2,,"Site Decommissioned and equipment relocated to Diamond Plaza TZDA6685, as per email received 21/10/20_JK",0,0,1,26/11/2017,13/12/2017,5/12/2017,3/8/2022,,Structural Survey Audit,Other
Status Set,1002,Samora,39.28667,-6.81705,Rooftop-Latice Tower,6,Helios Tanzania,16/02/2022,V2.0_Structural analysis Re-Run_MM,Green,,,NI,Green,57,4.6,,Green,52,9.8,,Green,72,15,,NotSet,,,,Pass,Green,Green,20,57,3,1,5,1,,,18,Green,28,52,7,1,8,2,,,24,Green,36,72,10,1,11,3,,,30,,,,NI,275/355,275,,DelmecInspected,1,D,5,2,2,27,,2,0,1,28/07/2021,16/02/2022,5/1/2022,21/02/2019,,Special Site Inspection,MS Tower v6
Status Set,1003,Kisutu,39.27911,-6.81445,Structure-Lattice Tower,35,Helios Tanzania,14/01/2019,"V2_Structural Analysis_NE. 	**RFI from ""Inventory Database for Q4"" Removed: 1no. MW Dish 0.6m @27.2m**",Amber,,,Green,Green,66,5.7,,Green,88,8.9,,Amber,104,12,,NotSet,,,,,Amber,Green,66,57,4,31,24,3,,3.66,18,Green,88,73,4,40,28,3,,2.87,24,Amber,104,92,6,48,35,4,,2.42,29,,,,Piled,235,235,51,DelmecInspected,1,C,4,2,2,27,,2,0,1,3/1/2019,14/01/2019,10/1/2019,15/02/2019,,Structural Survey Audit,MS Tower v6
Status Set,1004,Upanga,39.28159,-6.80721,Rooftop-Ballast Pole,5.5,Helios Tanzania,29/03/2016,"v1.0_(Structural Analysis)_JK_No members overstressed **RFI from ""Inventory Database for Q4"" Removed: 1no. MW Dish 0.6m @22m, 1no. MW Dish 0.6m @21m**",Amber,,,NI,Green,43,,,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,Amber,Green,21,43,,,6,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,DelmecInspected,1,B,3,2,2,27,,0,0,1,12/3/2016,29/03/2016,23/11/2021,18/02/2022,,Structural Survey Audit,MS Tower v6
Status Set,1005,Upanga East,39.2867,-6.80102,Structure-Lattice Tower,35,Helios Tanzania,26/01/2016,V3_Additional Equipment_TA_Strengthen the leg members in section 6(Equipment added: 3no. 1.35m GSM Antennas RFI 18/08/2017),Amber,,,NI,Green,77,9.9,,Green,92,13.1,,Amber,115,16.2,,NotSet,,,,,Amber,Green,77,48,5,47,53,6,,,22,Green,92,56,6,54,59,7,,,25,Amber,115,65,7,63,66,8,,,29,,,,NI,345,248,,T2Inspected,1,D,3,2,2,27,,3,0,1,26/01/2016,26/01/2016,,10/10/2017,,,MS Tower v6
Status Set,1006,Upanga West,39.27318,-6.80125,Structure-Lattice Tower,35,Helios Tanzania,19/06/2018,"V3_Structural Analysis_BLS**RFI from ""Inventory Database for Q4"" Added: 4no. GSM Antennas 1.39x0.3x0.014 @30m, 4no. RRUs 0.4x0.3x0.1m @30m**",Amber,,,Green,Green,93,15.4,,Amber,111,18.5,,NotSet,,,,NotSet,,,,,Amber,Green,88,93,7,53,34,5,,2.21,31,Amber,99,111,8,61,40,5,,1.95,35,NotSet,,,,,,,,,,,,,Piled,235,235,53,DelmecInspected,1,C,3,5,2,27,,3,0,1,3/5/2018,19/06/2018,12/6/2018,19/07/2018,,Structural Survey Audit,MS Tower v6
Status Set,1007,United Nations,39.2745,-6.80995,Structure-Lattice Tower,35,Helios Tanzania,20/11/2017,V3_Structural Analysis_LB,Amber,,,NI,Green,64,13.6,,Green,70,16.7,,Green,80,19.9,,NotSet,,,,,Amber,Green,55,64,8,32,42,5,,,28,Green,63,70,9,38,46,5,,,33,Green,70,80,10,43,52,5,,,37,,,,NI,235,235,,DelmecInspected,1,C,4,2,2,27,,3,0,1,18/10/2017,20/11/2017,17/11/2017,13/03/2018,,Structural Survey Audit,MS Tower v6
Decommissioned,1008,Kariakoo,39.2725,-6.8186,Structure-Lattice Tower,35,Helios Tanzania,13/05/2014,There is no need to strengthen this tower (Site consolidation with DAR039),Amber,,,NI,Green,,,,Green,46,,,NotSet,,,,NotSet,,,,,Amber,Green,,,,,,,,,,Green,25,46,,24,19,,,,18,NotSet,,,,,,,,,,,,,NI,345,248,,Unaudited,1,B,3,2,2,27,No Site Photographs,2,0,1,13/05/2014,13/05/2014,,13/03/2018,,,MS Tower v6
Status Set,1009,Ocean Road,39.29611,-6.80891,Structure-Lattice Tower,35,Helios Tanzania,5/4/2024,"V4.0_Structural Analysis_MS. Members overstressed.	",Red,16.65561489,21.48818633,Red,Amber,142,20.2,,Red,172,24.2,,Red,194,28.1,,NotSet,,,,Fail,Red,Amber,96,142,7,68,46,6,,0.58,40,Red,122,172,8,79,55,6,,0.51,47,Red,132,194,9,88,63,7,,0.46,52,,,,Raft,235,235,40,DelmecInspected,1,D,1,2,2,27,No Photographs of tower,4,0,1,25/03/2024,5/4/2024,5/10/2021,1/2/2019,,Special Site Inspection,MS Tower v6
Status Set,1010,Mgulani,39.27908,-6.85508,Structure-Lattice Tower,35,Helios Tanzania,23/07/2018,"V3_Structural Analysis_BL. 	",Green,,,NI,Green,69,11.2,,Green,77,14.3,,Green,88,17.5,,NotSet,,,,,Green,Green,61,69,5,43,32,4,,,25,Green,75,77,5,53,35,4,,,31,Green,85,88,5,60,41,4,,,36,,,,NI,235,235,,DelmecInspected,1,C,5,5,2,27,,3,0,1,20/06/2018,23/07/2018,16/07/2018,30/07/2018,,Structural Survey Audit,MS Tower v6
